Street Number,Street Name,Street Side,Skytrain Station Name,BIA,# of racks,Year Installed,
590,Beatty St,East,Stadium-Chinatown,,2,2012,Edit
635,Burrard St,West,Burrrad,,4,2012,Edit
4099,Cambie St,West,King Edwards,,22,2012,Edit
6488,Cambie St,East,Langara-49th,,3,2012,Edit
8430,Cambie St,East,Marine Drive,,4,2012,Edit
297,Davie St,North,Yaletown-Roundhouse,,6,2012,Edit
2450,E 24th Av,South,Nannaimo,,3,2012,Edit
2790,E 29th Av,South,29th Ave,,3,2012,Edit
1725,E Broadway,North,Commercial-Broadway,,4,2012,Edit
5099,Joyce St,North,Joyce-Collingwood,,3,2012,Edit
1399,Main St,West,Main St-Science World,,4,2012,Edit
655,Seymour St,West,Granville St,,4,2012,Edit
525,W 2nd Av,North,Olympic Village,,4,2012,Edit
510,W 41st Av,South,Oakridge-41st,,4,2012,Edit
496,W Broadway,South,Broadway-City Hall,,11,2012,Edit
601,W Cordova St,North,Waterfront,,3,2012,Edit
455,Abbott St,West,,HC,4,2014,Edit
516,Abbott St,East,,HC,1,2014,Edit
568,Abbott St,East,,HC,1,2014,Edit
702,W Georgia St,South,Vancouver City Centre,,8,2012,Edit
